trialNumber,repeatNumber,rewardContingency,contrastLeft,contrastRight,correctResponse,choice,choiceCompleteTime,choiceStartTime,feedback,punishSoundOnsetTime,trialStartTime,preStimWaitTime,interactiveOnTime,feedbackTime,endTrialTime,environment,stimulusOnsetTime,goCueTime,rewardTime,rewardVolume
42,1,SymmetricReward,0,0,Left,Right,491.746698549949,491.626594843343,Unrewarded,492.122,487.365302699967,487.365575899952,489.513077249983,492.081675999914,500.352978150011,Neutral,488.82254322641,489.559,NaN,NaN
43,1,SymmetricReward,0,0,Left,Right,505.47914369998,505.433510670438,Unrewarded,505.746,500.360097949975,500.360395050026,501.637390749995,505.701878749998,514.121198549983,Neutral,500.955573740837,501.683,NaN,NaN
44,1,SymmetricReward,0,0.0625,Right,Right,531.180629499955,531.135567848571,Rewarded,NaN,514.128809649963,514.129076849902,516.842926150071,531.50753625005,537.915132949944,Neutral,516.02805212654,516.8955,531.539700350085,3.5
45,1,SymmetricReward,0,0.5,Right,Left,539.464610600029,539.380676245317,Unrewarded,539.8135,537.92346614995,537.923726349953,539.318899100064,539.77165775001,547.823092549923,Neutral,538.520022526251,539.3625,NaN,NaN
46,2,SymmetricReward,0,0.5,Right,Right,549.463529050001,549.413619119674,Rewarded,NaN,547.830315549974,547.830586749944,549.171134250006,549.802075799904,557.446146699949,Neutral,548.430540766333,549.222,549.833700369913,3.5
47,1,SymmetricReward,0,0.0625,Right,Right,560.998288700008,560.952432975173,Rewarded,NaN,557.453318899963,557.453588099917,558.881613200065,561.253611249966,567.661776199937,Neutral,558.054157172356,558.9295,561.287200396149,3.5
48,1,SymmetricReward,0,0,Left,Left,571.963664499926,571.716621840373,Rewarded,NaN,567.668478199979,567.668736399966,571.040876699961,572.167739900062,580.937354600057,Neutral,570.348832897629,571.087,572.199700376442,3.5
49,1,SymmetricReward,0,0.5,Right,Right,582.546906000003,582.34447670728,Rewarded,NaN,580.944553700043,580.944825300132,582.416491549928,582.883522699936,589.243040249916,Neutral,581.550496141514,582.4595,582.916200343554,3.5
50,1,SymmetricReward,0,0.125,Right,Right,591.016618249938,590.769298101775,Rewarded,NaN,589.250295749982,589.250565749942,590.646828649915,591.34761124989,598.617755699903,Neutral,589.85055509071,590.709,591.379700323842,3.5
51,1,SymmetricReward,0.5,0,Left,Left,600.214449399966,600.098881484941,Rewarded,NaN,598.62565079995,598.625917999889,599.869578699931,600.568720550044,609.434012099984,Neutral,599.224543367025,599.9195,600.599700356733,3.5
52,1,SymmetricReward,0.25,0,Left,Left,612.565161749953,612.365842831321,Rewarded,NaN,609.441228999989,609.441504699993,612.278278650017,612.893242549966,622.176680549979,Neutral,611.585578787885,612.331,612.924700356733,3.5
53,1,SymmetricReward,0.25,0,Left,Left,624.532735150075,624.449992679991,Rewarded,NaN,622.185231650015,622.185516249971,623.673928000033,624.900199350086,632.118248099927,Neutral,622.781511762749,623.7225,624.931700343554,3.5
54,1,SymmetricReward,0,0.125,Right,Right,635.765635150019,635.719237038866,Rewarded,NaN,632.124990099925,632.125269599957,634.394276900101,636.014392299927,642.691199999885,Neutral,633.626252145235,634.44,636.047200323842,3.5
55,1,SymmetricReward,0.0625,0,Left,Left,645.097767649917,645.055017421953,Rewarded,NaN,642.698543299921,642.698826499982,644.13267334993,645.406384949922,654.234419999993,Neutral,643.294047570658,644.1775,645.43870040933,3.5
56,1,SymmetricReward,0,0.5,Right,Right,656.114740199992,655.865683786571,Rewarded,NaN,654.241556099965,654.241820099996,655.514234600123,656.473056899966,663.665276400046,Neutral,654.84105687259,655.5595,656.507200317306,3.5
57,1,SymmetricReward,0.125,0,Left,Right,665.731721950113,665.508215665817,Unrewarded,666.016,663.672295500059,663.672571100062,664.936925749993,665.974757050164,674.943010999938,Neutral,664.27204378034,664.982,NaN,NaN
