trialNumber,repeatNumber,stimulusLeft,stimulusLeftPayoff_1,stimulusLeftPayoff_2,stimulusRight,stimulusRightPayoff_1,stimulusRightPayoff_2,choice,choiceCompleteTime,choiceStartTime,stimulusOnsetTime,goCueTime,rewardTime,rewardVolume,rewardBeepFreq,rewardBeepOnsetTime,punishSoundOnsetTime
43,1,Cross,3,3,None,0,0,Right,343.433924900135,343.375547462841,342.740047300002,342.948917500209,NaN,NaN,1000,343.541934000095,NaN
44,2,Cross,3,3,None,0,0,Right,349.045791300014,348.863402987132,347.450384300202,347.658417600207,NaN,NaN,1000,349.156875800109,NaN
45,3,Cross,3,3,None,0,0,Left,353.782629900146,353.637043721275,353.523997900076,353.72756330017,353.889569600113,3,5200,353.889440300176,NaN
46,1,None,0,0,Cross,3,3,Right,356.815998600097,356.713661278831,356.562751000049,356.771285400027,356.923419200117,3,5200,356.923346700147,NaN
47,1,Cross,3,3,None,0,0,Left,361.416896700161,361.349953014869,360.793775900034,360.999591300031,361.526358300122,3,5200,361.526283600135,NaN
48,1,None,0,0,Cross,3,3,Right,366.067796100164,365.92520075175,365.794235500041,366.000485800207,366.1768242002,3,5200,366.176750200102,NaN
49,1,Cross,3,3,None,0,0,Left,369.40011580009,369.316194904968,368.366858600173,368.571935000131,369.509052800015,3,5200,369.508962000022,NaN
50,1,None,0,0,Cross,3,3,Left,378.982742400141,378.921468172455,376.275163599988,376.480607200181,NaN,NaN,1000,379.092225300148,NaN
51,2,None,0,0,Cross,3,3,Left,382.016718900064,381.97061593039,381.481810700148,381.689801500179,NaN,NaN,1000,382.123500199988,NaN
52,3,None,0,0,Cross,3,3,Left,387.439404000062,387.40047965548,386.496017100057,386.70123630017,NaN,NaN,1000,387.552864800207,NaN
53,4,None,0,0,Cross,3,3,Left,392.766809900058,392.711307582213,390.444655400002,390.649884800194,NaN,NaN,1000,392.875710100168,NaN
54,5,None,0,0,Cross,3,3,Right,395.351275400026,395.150015348569,395.070253200131,395.274094500113,395.458900500089,3,5200,395.458827800117,NaN
55,1,Cross,3,3,None,0,0,Left,397.983385800151,397.82679471164,397.663430200191,397.872275000205,398.090513400035,3,5200,398.090425600065,NaN
56,1,None,0,0,Cross,3,3,Left,408.058612200199,407.969255171716,401.76868850016,401.972548600053,NaN,NaN,1000,408.170418200083,NaN
57,2,None,0,0,Cross,3,3,Left,415.167105100118,414.986262874911,411.592892799992,411.797555700177,NaN,NaN,1000,415.274154599989,NaN
58,3,None,0,0,Cross,3,3,Right,418.383195200004,418.136133231455,418.033654800151,418.240004400024,418.492530500051,3,5200,418.492458300199,NaN
59,1,None,0,0,Cross,3,3,Right,425.733029100113,425.65980612766,422.893174500205,423.098373900168,425.842252800008,3,5200,425.842179100029,NaN
60,1,Cross,3,3,None,0,0,Right,433.23293659999,433.149904824328,430.915010299999,431.120275900001,NaN,NaN,1000,433.341961300001,NaN
61,2,Cross,3,3,None,0,0,Left,439.657000300009,439.409966937965,437.656357600121,437.862092800206,439.767928100191,3,5200,439.767855199985,NaN
62,1,None,0,0,Cross,3,3,Right,444.28925820021,444.19581647194,443.922337300144,444.127441200195,444.4020260002,3,5200,444.401953600114,NaN
63,1,Cross,3,3,None,0,0,Right,447.100498600164,446.884804634843,446.69399160007,446.901145800017,NaN,NaN,1000,447.208791100187,NaN
64,2,Cross,3,3,None,0,0,Left,453.787316100206,453.721732540522,449.765214300016,449.970440400066,453.89700170001,3,5200,453.89692920004,NaN
